Nom de la gare,Commune,Latitude,Longitude
Gare de Sarreguemines,SARREGUEMINES,49.10675765152767,7.068669692711919
Gare de Wingen-sur-Moder,WINGEN-SUR-MODER,48.92008500247013,7.381540309334985
Gare de Lutzelbourg,LUTZELBOURG,48.729846888344916,7.251833009492623
Gare de Kruth,KRUTH,47.923391148754874,6.969472921578649
Gare de Mulhouse,MULHOUSE,47.74231193714302,7.344146636981515
Gare de Thann,THANN,47.80905151571365,7.106968882212065
Gare de Wesserling,FELLERING,47.889893218166925,6.997713951654126
Gare de Metzeral,METZERAL,48.01357036107344,7.073476717323556
Gare de Lauterbourg,LAUTERBOURG,48.96716996582567,8.182587532363396
Gare de Roeschwoog,RSCHWOOG,48.83365122600304,8.029855501245246
Gare de Barr,NAINTRE,46.75941618239306,0.496188527794818
Gare de Molsheim,MOLSHEIM,48.53746862797946,7.500117588274114
Gare de Rothau,ROTHAU,48.45922303173024,7.207432343690648
Gare de Saales,SAALES,48.347294703282934,7.110880725329616
Gare de Altkirch,ALTKIRCH,47.62717228998658,7.23977513679141
Gare de Montreux-Vieux,MONTREUX-VIEUX,47.618038564834976,7.026212962770893
Gare de St-Dié-des-Vosges,SAINT-DIE-DES-VOSGES,48.28142701610043,6.950498210083727
Gare de Montluçon-Ville,MONTLUCON,46.33767237806594,2.596196458997838
Laqueuille,SAINT-JULIEN-PUY-LAVEZE,45.647048413768054,2.704853505428261
Gare de Clermont-Ferrand,CLERMONT-FERRAND,45.778499049968005,3.100379197092955
Gare de Gannat,GANNAT,46.097617863456954,3.204865220044901
Gare de Riom-Châtel-Guyon,RIOM,45.88996059116421,3.121138530418133
Gare de Aurillac,AURILLAC,44.92128287269628,2.436202111452767
Gare de St-Denis-près-Martel,SAINT-DENIS-LES-MARTEL,44.94571803823343,1.666495861437176
Gare de Capdenac,CAPDENAC-GARE,44.57865477582681,2.077408214377482
Gare de Vichy,VICHY,46.12683921223093,3.43072483612765
Gare de Thiers,THIERS,45.86120498207434,3.543281416041616
Gare de Le Puy-en-Velay,LE PUY-EN-VELAY,45.04371964956138,3.894211678987385
Gare de Arvant,BOURNONCLE-SAINT-PIERRE,45.365318541611714,3.31053930071958
Gare de Moulins-sur-Allier,MOULINS,46.56123451905579,3.339184600895671
Gare de Volvic,VOLVIC,45.86777595338548,2.99867906229565
Gare de St-Amand-Montrond-Orval,ORVAL,46.72643246817583,2.485791477260844
Gare de Vertaizon,VERTAIZON,45.784639879943335,3.288416384375966
Gare de St-Chély-d'Apcher,SAINT-CHELY-D'APCHER,44.80169452565202,3.270797800665272
Gare de Neussargues,NEUSSARGUES EN PINATELLE,45.12527901420377,2.979124325577049
Gare de St-Flour-Chaudes-Aigues,SAINT-FLOUR,45.03497152028242,3.106143478141462
Gare de Brioude,BRIOUDE,45.300607050091536,3.378735969942512
Gare de Langeac,LANGEAC,45.10107825695581,3.490565120059909
Gare de St-Georges-d'Aurac,MAZEYRAT-D'ALLIER,45.16047357280196,3.494734866149104
Gare de Pont-de-Dore,PESCHADOIRES,45.84281840911178,3.490208779623193
Gare de Issoire,ISSOIRE,45.54410777430989,3.254208169172224
Gare de Vic-le-Comte,VIC-LE-COMTE,45.66492815795635,3.206926245053712
Gare de Cercy-la-Tour,CERCY-LA-TOUR,46.857803247890246,3.644990367153794
Gare de Autun,AUTUN,46.95495665067907,4.292902253657597
Gare de St-Pierre-le-Moûtier,SAINT-PIERRE-LE-MOUTIER,46.79333350532142,3.111442056711583
Gare de Paray-le-Monial,PARAY-LE-MONIAL,46.44698018163388,4.113797115799167
Gare de Digoin,DIGOIN,46.4852517882021,3.988008620648722
Gare de Lozanne,LOZANNE,45.854168191225845,4.682685080122432
Gare de Louhans,LOUHANS,46.6314307065044,5.215956085594542
Gare de Seurre,SEURRE,46.99638971386293,5.151257335475762
Gare de Bourg-en-Bresse,BOURG-EN-BRESSE,46.19572681480001,5.216110623445346
